event_id,drug_name,adverse_event,reaction,severity,route,dosage
AE00190,olaparib,infusion reaction,hypersensitivity,critical,oral,300 mg
AE00191,olaparib,chest tightness,dyspnea,critical,oral,300 mg
AE00192,olaparib,stomatitis,oral mucositis,moderate,oral,300 mg
AE00193,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00194,niraparib,nausea,nausea,moderate,oral,200 mg
AE00195,niraparib,diarrhea,diarrhea,moderate,oral,200 mg
AE00196,niraparib,vomiting,vomiting,high,oral,200 mg
AE00197,niraparib,rash,rash,moderate,oral,200 mg
AE00198,niraparib,fever,fever,moderate,oral,200 mg
AE00199,niraparib,neuropathy,peripheral neuropathy,high,oral,200 mg
AE00200,niraparib,neutropenia,neutropenia,high,oral,200 mg
AE00201,niraparib,anemia,anemia,moderate,oral,200 mg
AE00202,niraparib,infusion reaction,hypersensitivity,critical,oral,200 mg
AE00203,niraparib,chest tightness,dyspnea,critical,oral,200 mg
AE00204,niraparib,stomatitis,oral mucositis,moderate,oral,200 mg
AE00205,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00206,gemcitabine,nausea,nausea,moderate,iv,1000 mg/m2
AE00207,gemcitabine,diarrhea,diarrhea,moderate,iv,1000 mg/m2
AE00208,gemcitabine,vomiting,vomiting,high,iv,1000 mg/m2
AE00209,gemcitabine,rash,rash,moderate,iv,1000 mg/m2
AE00210,gemcitabine,fever,fever,moderate,iv,1000 mg/m2
AE00211,gemcitabine,neuropathy,peripheral neuropathy,high,iv,1000 mg/m2
AE00212,gemcitabine,neutropenia,neutropenia,high,iv,1000 mg/m2
AE00213,gemcitabine,anemia,anemia,moderate,iv,1000 mg/m2
AE00214,gemcitabine,infusion reaction,hypersensitivity,critical,iv,1000 mg/m2
AE00215,gemcitabine,chest tightness,dyspnea,critical,iv,1000 mg/m2
AE00216,gemcitabine,stomatitis,oral mucositis,moderate,iv,1000 mg/m2
AE00217,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00218,capecitabine,nausea,nausea,moderate,oral,1000 mg/m2
AE00219,capecitabine,diarrhea,diarrhea,moderate,oral,1000 mg/m2
AE00220,capecitabine,vomiting,vomiting,high,oral,1000 mg/m2
AE00221,capecitabine,rash,rash,moderate,oral,1000 mg/m2
AE00222,capecitabine,fever,fever,moderate,oral,1000 mg/m2
AE00223,capecitabine,neuropathy,peripheral neuropathy,high,oral,1000 mg/m2
AE00224,capecitabine,neutropenia,neutropenia,high,oral,1000 mg/m2
AE00225,capecitabine,anemia,anemia,moderate,oral,1000 mg/m2
AE00226,capecitabine,infusion reaction,hypersensitivity,critical,oral,1000 mg/m2
AE00227,capecitabine,chest tightness,dyspnea,critical,oral,1000 mg/m2
AE00228,capecitabine,stomatitis,oral mucositis,moderate,oral,1000 mg/m2
AE00229,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00230,pemetrexed,nausea,nausea,moderate,iv,500 mg/m2
AE00231,pemetrexed,diarrhea,diarrhea,moderate,iv,500 mg/m2
AE00232,pemetrexed,vomiting,vomiting,high,iv,500 mg/m2
AE00233,pemetrexed,rash,rash,moderate,iv,500 mg/m2
AE00234,pemetrexed,fever,fever,moderate,iv,500 mg/m2
AE00235,pemetrexed,neuropathy,peripheral neuropathy,high,iv,500 mg/m2
AE00236,pemetrexed,neutropenia,neutropenia,high,iv,500 mg/m2
AE00237,pemetrexed,anemia,anemia,moderate,iv,500 mg/m2
AE00238,pemetrexed,infusion reaction,hypersensitivity,critical,iv,500 mg/m2
AE00239,pemetrexed,chest tightness,dyspnea,critical,iv,500 mg/m2
AE00240,pemetrexed,stomatitis,oral mucositis,moderate,iv,500 mg/m2
AE00241,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00242,irinotecan,nausea,nausea,moderate,iv,180 mg/m2
AE00243,irinotecan,diarrhea,diarrhea,moderate,iv,180 mg/m2
AE00244,irinotecan,vomiting,vomiting,high,iv,180 mg/m2
AE00245,irinotecan,rash,rash,moderate,iv,180 mg/m2
AE00246,irinotecan,fever,fever,moderate,iv,180 mg/m2
AE00247,irinotecan,neuropathy,peripheral neuropathy,high,iv,180 mg/m2
AE00248,irinotecan,neutropenia,neutropenia,high,iv,180 mg/m2
AE00249,irinotecan,anemia,anemia,moderate,iv,180 mg/m2
AE00250,irinotecan,infusion reaction,hypersensitivity,critical,iv,180 mg/m2
AE00251,irinotecan,chest tightness,dyspnea,critical,iv,180 mg/m2
AE00252,irinotecan,stomatitis,oral mucositis,moderate,iv,180 mg/m2
AE00253,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00254,bevacizumab,nausea,nausea,moderate,iv,15 mg/kg
AE00255,bevacizumab,diarrhea,diarrhea,moderate,iv,15 mg/kg
AE00256,bevacizumab,vomiting,vomiting,high,iv,15 mg/kg
AE00257,bevacizumab,rash,rash,moderate,iv,15 mg/kg
AE00258,bevacizumab,fever,fever,moderate,iv,15 mg/kg
AE00259,bevacizumab,neuropathy,peripheral neuropathy,high,iv,15 mg/kg
AE00260,bevacizumab,neutropenia,neutropenia,high,iv,15 mg/kg
AE00261,bevacizumab,anemia,anemia,moderate,iv,15 mg/kg
AE00262,bevacizumab,infusion reaction,hypersensitivity,critical,iv,15 mg/kg
AE00263,bevacizumab,chest tightness,dyspnea,critical,iv,15 mg/kg
AE00264,bevacizumab,stomatitis,oral mucositis,moderate,iv,15 mg/kg
AE00265,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00266,palbociclib,nausea,nausea,moderate,oral,125 mg
AE00267,palbociclib,diarrhea,diarrhea,moderate,oral,125 mg
AE00268,palbociclib,vomiting,vomiting,high,oral,125 mg
AE00269,palbociclib,rash,rash,moderate,oral,125 mg
AE00270,palbociclib,fever,fever,moderate,oral,125 mg
AE00271,palbociclib,neuropathy,peripheral neuropathy,high,oral,125 mg
AE00272,palbociclib,neutropenia,neutropenia,high,oral,125 mg
AE00273,palbociclib,anemia,anemia,moderate,oral,125 mg
AE00274,palbociclib,infusion reaction,hypersensitivity,critical,oral,125 mg
AE00275,palbociclib,chest tightness,dyspnea,critical,oral,125 mg
AE00276,palbociclib,stomatitis,oral mucositis,moderate,oral,125 mg
AE00277,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00278,ribociclib,nausea,nausea,moderate,oral,600 mg
AE00279,ribociclib,diarrhea,diarrhea,moderate,oral,600 mg
AE00280,ribociclib,vomiting,vomiting,high,oral,600 mg
AE00281,ribociclib,rash,rash,moderate,oral,600 mg
AE00282,ribociclib,fever,fever,moderate,oral,600 mg
AE00283,ribociclib,neuropathy,peripheral neuropathy,high,oral,600 mg
AE00284,ribociclib,neutropenia,neutropenia,high,oral,600 mg
AE00285,ribociclib,anemia,anemia,moderate,oral,600 mg
AE00286,ribociclib,infusion reaction,hypersensitivity,critical,oral,600 mg
AE00287,ribociclib,chest tightness,dyspnea,critical,oral,600 mg
AE00288,ribociclib,stomatitis,oral mucositis,moderate,oral,600 mg
AE00289,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00290,crizotinib,nausea,nausea,moderate,oral,250 mg
AE00291,crizotinib,diarrhea,diarrhea,moderate,oral,250 mg
AE00292,crizotinib,vomiting,vomiting,high,oral,250 mg
AE00293,crizotinib,rash,rash,moderate,oral,250 mg
AE00294,crizotinib,fever,fever,moderate,oral,250 mg
AE00295,crizotinib,neuropathy,peripheral neuropathy,high,oral,250 mg
AE00296,crizotinib,neutropenia,neutropenia,high,oral,250 mg
AE00297,crizotinib,anemia,anemia,moderate,oral,250 mg
AE00298,crizotinib,infusion reaction,hypersensitivity,critical,oral,250 mg
AE00299,crizotinib,chest tightness,dyspnea,critical,oral,250 mg
AE00300,crizotinib,stomatitis,oral mucositis,moderate,oral,250 mg
AE00301,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00302,alectinib,nausea,nausea,moderate,oral,600 mg
AE00303,alectinib,diarrhea,diarrhea,moderate,oral,600 mg
AE00304,alectinib,vomiting,vomiting,high,oral,600 mg
AE00305,alectinib,rash,rash,moderate,oral,600 mg
AE00306,alectinib,fever,fever,moderate,oral,600 mg
AE00307,alectinib,neuropathy,peripheral neuropathy,high,oral,600 mg
AE00308,alectinib,neutropenia,neutropenia,high,oral,600 mg
AE00309,alectinib,anemia,anemia,moderate,oral,600 mg
AE00310,alectinib,infusion reaction,hypersensitivity,critical,oral,600 mg
AE00311,alectinib,chest tightness,dyspnea,critical,oral,600 mg
AE00312,alectinib,stomatitis,oral mucositis,moderate,oral,600 mg
AE00313,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00314,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00315,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00316,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00317,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00318,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00319,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00320,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00321,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00322,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00323,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00324,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00325,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00326,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00327,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00328,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00329,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00330,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00331,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00332,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00333,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00334,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00335,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00336,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00337,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00338,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00339,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00340,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00341,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00342,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00343,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00344,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00345,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00346,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00347,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00348,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00349,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00350,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00351,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00352,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00353,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00354,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00355,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00356,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00357,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00358,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00359,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00360,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00361,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00362,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00363,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00364,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00365,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00366,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00367,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00368,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00369,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00370,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00371,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00372,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
AE00373,pertuzumab,fatigue,fatigue,moderate,iv,420 mg
AE00374,paclitaxel,fatigue,fatigue,moderate,iv,175 mg/m2
AE00375,docetaxel,fatigue,fatigue,moderate,iv,75 mg/m2
AE00376,cisplatin,fatigue,fatigue,moderate,iv,75 mg/m2
AE00377,carboplatin,fatigue,fatigue,moderate,iv,auc 5
AE00378,oxaliplatin,fatigue,fatigue,moderate,iv,85 mg/m2
AE00379,doxorubicin,fatigue,fatigue,moderate,iv,60 mg/m2
AE00380,olaparib,fatigue,fatigue,moderate,oral,300 mg
AE00381,niraparib,fatigue,fatigue,moderate,oral,200 mg
AE00382,gemcitabine,fatigue,fatigue,moderate,iv,1000 mg/m2
AE00383,capecitabine,fatigue,fatigue,moderate,oral,1000 mg/m2
AE00384,pemetrexed,fatigue,fatigue,moderate,iv,500 mg/m2
AE00385,irinotecan,fatigue,fatigue,moderate,iv,180 mg/m2
AE00386,bevacizumab,fatigue,fatigue,moderate,iv,15 mg/kg
AE00387,palbociclib,fatigue,fatigue,moderate,oral,125 mg
AE00388,ribociclib,fatigue,fatigue,moderate,oral,600 mg
AE00389,crizotinib,fatigue,fatigue,moderate,oral,250 mg
AE00390,alectinib,fatigue,fatigue,moderate,oral,600 mg
AE00391,osimertinib,fatigue,fatigue,moderate,oral,80 mg
AE00392,erlotinib,fatigue,fatigue,moderate,oral,150 mg
AE00393,pembrolizumab,fatigue,fatigue,moderate,iv,200 mg
AE00394,nivolumab,fatigue,fatigue,moderate,iv,240 mg
AE00395,atezolizumab,fatigue,fatigue,moderate,iv,1200 mg
AE00396,durvalumab,fatigue,fatigue,moderate,iv,10 mg/kg
AE00397,ipilimumab,fatigue,fatigue,moderate,iv,3 mg/kg
AE00398,trastuzumab,fatigue,fatigue,moderate,iv,6 mg/kg
